0;Dlouhodobý majetek
01;Dlouhodobý nehmotný majetek
012;Nehmotné výsledky výzkumu a vývoje 
013;Software
014;Ocenitelná práva
018;Drobný dlouhodobý nehmotný majetek 
019;Ostatní dlouhodobý nehmotný majetek
02;Dlouhodobý hmotný majetek odpisovaný 
021;Stavby
022;Samostatné movité věci a soubory movitých věcí 
025;Pěstitelské celky trvalých porostů
026;Základní stádo a tažná zvířata
028;Drobný dlouhodobý hmotný majetek 
029;Ostatní dlouhodobý hmotný majetek
03;Dlouhodobý hmotný majetek neodpisovaný 
031;Pozemky
032;Umělecká díla a předměty
04;Pořízení dlouhodobého nehmotného a hmotného majetku
041;Pořízení dlouhodobého nehmotného majetku 
042;Pořízení dlouhodobého hmotného majetku
05;Poskytnuté zálohy na dlouhodobý nehmotný a hmotný majetek
051;Poskytnuté zálohy na dlouhodobý nehmotný majetek 
052;Poskytnuté zálohy na dlouhodobý hmotný majetek
06;Dlouhodobý finanční majetek
061;Podílové cenné papíry a vklady v podnicích s rozhodujícím vlivem
062 ;Podílové cenné papíry a vklady v podnicích s podstatným vlivem
063;Ostatní dlouhodobé cenné papíry a vklady 
066;Půjčky podnikům ve skupině
067;Ostatní dlouhodobé půjčky
069;Ostatní dlouhodobý finanční majetek
07;Oprávky k dlouhodobému nehmotnému majetku 
072;Oprávky k nehmotným výsledkům výzkumu a vývoje 
073;Oprávky k softwaru
074;Oprávky k ocenitelným právům
078;Oprávky k drobnému dlouhodobému nehmotnému majetku
079;Oprávky k ostatnímu dlouhodobému nehmotnému majetku
08;Oprávky k dlouhodobému hmotnému majetku
081;Oprávky ke stavbám
082;Oprávky k samostatným movitým věcem a souborům movitých věcí
085;Oprávky k pěstitelským celkům trvalých porostů 
086;Oprávky k základnímu stádu a tažným zvířatům
088;Oprávky k drobnému dlouhodobému hmotnému majetku 
089;Oprávky k ostatnímu dlouhodobému hmotnému majetku
09;Opravné položky k dlouhodobému majetku
091;Opravná položka k dlouhodobému nehmotnému majetku 
092;Opravná položka k dlouhodobému hmotnému majetku 
093;Opravná položka k dlouhodobému nedokončenému nehmotnému majetku
094;Opravná položka k dlouhodobému nedokončenému hmotnému majetku
095;Opravná položka k poskytnutým zálohám
096;Opravná položka k dlouhodobému finančnímu majetku
1;Zásoby
11;Materiál
111;Pořízení materiálu 
112;Materiál na skladě 
119;Materiál na cestě
12;Zásoby vlastní výroby 
121;Nedokončená výroba
122;Polotovary vlastní výroby 
123;Výrobky
124;Zvířata
13;Zboží
131;Pořízení zboží 
132;Zboží na skladě 
139;Zboží na cestě
19;Opravné položky k zásobám 
191;Opravná položka k materiálu
192;Opravná položka k nedokončené výrobě
193;Opravná položka k polotovarům vlastní výroby
194;Opravná položka k výrobkům
195;Opravná položka ke zvířatům
196;Opravná položka ke zboží
2;Finanční účty
21;Peníze
211;Pokladna 
213;Ceniny
22;Účty v bankách 
221;Bankovní účty
23;Krátkodobé bankovní úvěry
231;Krátkodobé bankovní úvěry 
232;Eskontní úvěry
24;Jiné krátkodobé finanční výpomoci 
241;Emitované krátkodobé dluhopisy
249;Ostatní krátkodobé finanční výpomoci
25;Krátkodobý finanční majetek 
251;Majetkové cenné papíry
253;Dlužné cenné papíry 
255;Vlastní dluhopisy 
256;Ostatní cenné papíry
26;Převody mezi finančními účty 
261;Peníze na cestě
29;Opravné položky ke krátkodobému finančnímu majetku
291;Opravná položka k majetkovým cenným papírům
293;Opravná položka k dlužným cenným papírům
3;Zúčtovací vztahy
31;Pohledávky 
311;Odběratelé
312;Směnky k inkasu
313;Pohledávky za eskontované cenné papíry 
314;Poskytnuté provozní zálohy
315;Ostatní pohledávky
32;Závazky 
321;Dodavatelé
322;Směnky k úhradě 
324;Přijaté zálohy 
325;Ostatní závazky
33;Zúčtování se zaměstnanci a institucemi 
331;Zaměstnanci
333;Ostatní závazky vůči zaměstnancům 
335;Pohledávky za zaměstnanci
336;Zúčtování s institucemi sociálního zabezpečení a zdravotního pojištění
34;Zúčtování daní, dotací a ostatní zúčtování 
341;Daň z příjmu
342;Ostatní přímé daně 
343;Daň z přidané hodnoty 
345;Ostatní daně a poplatky
346;Nároky na dotace a ostatní zúčtování se státním rozpočtem
348;Nároky na dotace a ostatní zúčtování s rozpočtem orgánů územních samosprávných celků
35;Pohledávky ke sdružení
358;Pohledávky k účastníkům sdružení
36;Závazky ke sdružením a závazky z upsaných nesplacených cenných papírů a vkladů
367;Závazky z upsaných nesplacených cenných papírů a vkladů
368;Závazky k účastníkům sdružení
37;Jiné pohledávky a závazky
375;Pohledávky z emitovaných dluhopisů
378;Jiné pohledávky
379;Jiné závazky
38;Přechodné účty aktiv a pasiv 
381;Náklady příštích období
383;Výdaje příštích období 
384;Výnosy příštích období 
385;Příjmy příštích období 
386;Kursové rozdíly aktivní 
387;Kursové rozdíly pasivní 
388;Dohadné účty aktivní 
389;Dohadné účty pasivní
39;Opravná položka k zúčtovacím vztahům a vnitřní zúčtování
391;Opravná položka k pohledávkám 
395;Vnitřní zúčtování
396;Spojovací účet při sdružení
4;Volná
5;Náklady
50;Spotřebované nákupy 
501;Spotřeba materiálu 
502;Spotřeba energie
503;Spotřeba ostatních neskladovatelných dodávek 
504;Prodané zboží
51;Služby
511;Opravy a udržování 
512;Cestovné
513;Náklady na reprezentaci 
518;Ostatní služby
52;Osobní náklady 
521;Mzdové náklady
523;Ostatní sociální pojištění 
524;Zákonné sociální pojištění 
527;Zákonné sociální náklady 
528;Ostatní sociální náklady
53;Daně a poplatky 
531;Daň silniční
532;Daň z nemovitostí
538;Ostatní daně a poplatky
54;Ostatní náklady
541;Smluvní pokuty a úroky z prodlení 
542;Ostatní pokuty a penále
543;Odpis nedobytné pohledávky 
544;Úroky
545;Kursové ztráty 
546;Dary
548;Manka a škody
549;Jiné ostatní náklady
55;Odpisy, prodaný majetek, rezervy a opravné položky 
551;Odpisy dlouhodobého nehmotného a hmotného majetku 
552;Zůstatková cena prodaného dlouhodobého nehmotného a hmotného majetku
553;Prodané cenné papíry a vklady
554;Prodaný materiál
556;Tvorba zákonných rezerv
559;Tvorba zákonných opravných položek
58;Poskytnuté příspěvky
581;Poskytnuté příspěvky zúčtované mezi organizačními složkami
582;Poskytnuté příspěvky
59;Daň z příjmů
591;Daň z příjmů
595;Dodatečné odvody daně z příjmů
6;Výnosy
60;Tržby;   ******************* doplnil danecek 1.1.2019
601;Tržby za vlastní výrobky
602;Tržby z prodeje služeb 
604;Tržby za prodané zboží
61;Změny stavu vnitroorganizačních zásob 
REMOVE;611;Změna stavu zásob nedokončené výroby ;   ******************* upravil danecek 1.1.2019
611; Tržby za vlastní výkony a za zboží 
612;Změna stavu zásob polotovarů
613;Změna stavu zásob výrobků
614;Změna stavu zvířat
62;Aktivace
621;Aktivace materiálu a zboží
622;Aktivace dlouhodobého nehmotného majetku ;   ******************* upravil danecek 1.1.2019
623;Aktivace vnitroorganizačních služeb
624;Aktivace dlouhodobého hmotného majetku
64;Ostatní výnosy
641;Smluvní pokuty a úroky z prodlení 
642;Ostatní pokuty a penále
643;Platby za odepsané pohledávky 
644;Úroky
645;Kursové zisky 
648;Zúčtování fondů 
649;Jiné ostatní výnosy
65;Tržby z prodeje majetku, rezervy a opravné položky
652;Tržby z prodeje dlouhodobého nehmotného a hmotného majetku
653;Tržby z prodeje cenných papírů a vkladů 
654;Tržby z prodeje materiálu
655;Výnosy z krátkodobého finančního majetku 
656;Zúčtování zákonných rezerv
657;Výnosy z dlouhodobého finančního majetku 
659;Zúčtování zákonných opravných položek
68;Přijaté příspěvky
681;Přijaté příspěvky zúčtované mezi organizačními složkami
682;Přijaté příspěvky
684;Přijaté členské příspěvky
69;Provozní dotace 
691;Provozní dotace
9;Vlastní jmění, fondy, hospodářsky výsledek, rezervy, dlouhodobé úvěry a půjčky, závěrkové a podrozvahové účty
90;Vlastní jmění
901;Vlastní jmění
91;Fondy
911;Fondy
93;Hospodářský výsledek
931;Hospodářský výsledek ve schvalovacím řízení 
932;Nerozdělený zisk, neuhrazená ztráta minulých let
94;Rezervy
941;Zákonné rezervy
95;Dlouhodobé bankovní úvěry a závazky 
951;Dlouhodobé bankovní úvěry
953;Emitované dluhopisy 
954;Závazky z pronájmu
955;Dlouhodobé přijaté zálohy 
958;Dlouhodobé směnky k úhradě 
959;Ostatní dlouhodobé závazky
96;Závěrkové účty
961;Počáteční účet rozvažný 
962;Konečný účet rozvažný
963;Účet hospodářského výsledku
